property_id,address,latitude,longitude,driveway_ids
house_1745685603462_2890,1 Main St,-37.81055966221255,144.96695877122917,driveway_1745685589223_6006
house_1745685603462_8314,2 Elm Cres,-37.80037952272741,144.97248678614082,driveway_1745685589223_7548
house_1745685603462_4245,3 Maple Pde,-37.80452399889926,144.97180466332384,driveway_1745685589223_5587
house_1745685603463_9872,4 Pine Ln,-37.81773020406381,144.96909744030012,driveway_1745685589222_2474
house_1745685603463_9864,5 Pine Ln,-37.80765831635697,144.94522509030307,driveway_1745685589223_1100
house_1745685603463_8367,6 Main St,-37.810894019061614,144.96258164561095,driveway_1745685589223_3063
house_1745685603463_4009,7 Elm Cres,-37.8036446563846,144.94917394758676,driveway_1745685589222_3051
house_1745685603463_8669,8 Oak Ave,-37.809422542580165,144.96235661441463,driveway_1745685589222_1364
house_1745685603463_9067,9 Oak Ave,-37.819362682482044,144.9468535570363,driveway_1745685589223_3568
house_1745685603463_5918,10 Maple Pde,-37.80527774468306,144.96212019401668,driveway_1745685589222_6434
house_1745685603463_4351,11 Oak Ave,-37.806696854706495,144.95687643593604,driveway_1745685589222_5972
house_1745685603463_5197,12 Maple Pde,-37.81269667803458,144.9517773883586,driveway_1745685589222_8579
house_1745685603463_5214,13 Maple Pde,-37.819481278015466,144.97332710579852,driveway_1745685589223_7207
house_1745685603463_8758,14 Main St,-37.803616950753465,144.96114071222212,driveway_1745685589223_2173
house_1745685603463_4792,15 Maple Pde,-37.81896502812276,144.95949215995668,driveway_1745685589223_8307
house_1745685603463_4824,16 Main St,-37.80463419968585,144.96386619494885,driveway_1745685589222_4925
house_1745685603463_8995,17 Maple Pde,-37.81329644827628,144.95129469662106,driveway_1745685589223_7742
house_1745685603463_2217,18 Pine Ln,-37.81354891789609,144.95157625306982,driveway_1745685589223_6543
house_1745685603463_7536,19 Main St,-37.80793748683678,144.96975136290476,driveway_1745685589223_7431
house_1745685603463_1364,20 Main St,-37.818715591064546,144.96796145283218,driveway_1745685589222_7197
house_1745685603463_4054,21 Oak Ave,-37.81478778000382,144.9680855644426,driveway_1745685589223_8945
house_1745685603463_9824,22 Main St,-37.80262237228051,144.9614030658698,driveway_1745685589223_8938
house_1745685603463_2502,23 Main St,-37.81274627038996,144.9704959366371,driveway_1745685589223_5679
house_1745685603463_2523,24 Pine Ln,-37.815806847852315,144.96484514466948,driveway_1745685589223_1309
house_1745685603463_3589,25 Elm Cres,-37.80675158001471,144.96119684249103,driveway_1745685589223_6013
house_1745685603463_4807,26 Main St,-37.813098631732636,144.96938227389234,driveway_1745685589222_8244
house_1745685603463_6404,27 Elm Cres,-37.80248509479683,144.94588178288777,driveway_1745685589222_5131
house_1745685603464_8609,28 Maple Pde,-37.8148160501414,144.9739197175991,driveway_1745685589223_9581
