property_id,address,latitude,longitude,driveway_ids
house_1745772492933_5430,1 Oak Ave,-37.80404421975324,144.95461916488992,driveway_1745772485080_1484
house_1745772492934_5803,2 Main St,-37.81318679056419,144.95604114834825,driveway_1745772485080_1703
house_1745772492934_9646,3 Elm Cres,-37.80323407581149,144.9559192148792,driveway_1745772485080_5214
house_1745772492934_7961,4 Pine Ln,-37.81272157536173,144.94749077383702,driveway_1745772485080_9570
house_1745772492934_9200,5 Pine Ln,-37.80491071798403,144.97493422633084,driveway_1745772485080_9891
house_1745772492934_6430,6 Oak Ave,-37.80790358951596,144.95201087800075,driveway_1745772485080_8875
house_1745772492934_2440,7 Elm Cres,-37.81745368437052,144.95040734436185,driveway_1745772485080_4809
house_1745772492934_2048,8 Pine Ln,-37.80601194515637,144.959379252769,driveway_1745772485080_3999
house_1745772492934_9728,9 Elm Cres,-37.80872220815626,144.971316786285,driveway_1745772485080_1867
house_1745772492934_3225,10 Main St,-37.80861259978562,144.97436334383877,driveway_1745772485080_3679
house_1745772492934_8182,11 Elm Cres,-37.814553564902056,144.95296397592338,driveway_1745772485080_4992
house_1745772492934_4267,12 Elm Cres,-37.80317866007757,144.95286023599314,driveway_1745772485080_3422
house_1745772492934_9842,13 Oak Ave,-37.819521907178405,144.95438892338848,driveway_1745772485080_8300
house_1745772492934_3577,14 Oak Ave,-37.8097703988155,144.95445026872915,driveway_1745772485080_2480
house_1745772492934_6499,15 Elm Cres,-37.81536001256484,144.95677642685024,driveway_1745772485080_9145
house_1745772492934_8057,16 Elm Cres,-37.81095773475568,144.96897583128418,driveway_1745772485080_7325
house_1745772492934_6467,17 Elm Cres,-37.80908792343088,144.96276927318246,driveway_1745772485080_4854
house_1745772492934_6767,18 Elm Cres,-37.80173599514416,144.94607041151755,driveway_1745772485080_8807
house_1745772492934_9048,19 Oak Ave,-37.80948124612212,144.96855394706688,driveway_1745772485080_1232
house_1745772492934_8353,20 Main St,-37.803430095792514,144.96137708039907,driveway_1745772485080_3142
